OID_,VALUE,COUNT,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE
1,-9999,35747,-9999,NA,NA,NoData,NoData,NA,NA,NA,NA,NA,NA,NA,NA,255,255,255,1.000000000000000,1.000000000000000,1.000000000000000
2,11,4575265,11,NA,NA,Open Water,Open Water,NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0.000000000000000,0.000000000000000,1.000000000000000
3,12,150,12,NA,NA,Perennial Ice/Snow,Perennial Ice/Snow,NA,NA,NA,NA,NA,NA,NA,NA,159,161,240,0.623529411760000,0.631372549020000,0.941176470590000
4,31,181603,31,NA,NA,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,NA,NA,NA,NA,NA,NA,NA,NA,191,191,191,0.749019607840000,0.749019607840000,0.749019607840000
5,408,3232,10020,2,10020,Mediterranean California Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,255,245,215,1.000000000000000,0.960784313720000,0.843137254900000
57,760,3444613,10080,2,10080_1_2_3_7,North Pacific Oak Woodland,Hardwood,293,37,14,10,3,26,71,I-B,255,120,120,1.000000000000000,0.470588235290000,0.470588235290000
58,761,42789,10150,2,10150_2_3_4,California Coastal Redwood Forest,Conifer,408,NA,32,30,7,NA,93,I-C,168,0,0,0.658823529410000,0.000000000000000,0.000000000000000
59,762,951332,10210,2,10210_2_3_6_7,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Conifer,229,70,11,9,5,13,82,I-B,245,181,149,0.960784313720000,0.709803921570000,0.584313725490000
60,763,295225,10220,2,10220_2_3_6_7,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Conifer,231,70,11,9,5,13,82,I-B,237,139,90,0.929411764710000,0.545098039220000,0.352941176470000
61,764,3105749,10270,2,10270_2_3_7,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Conifer,337,32,12,8,3,26,71,I-B,158,187,215,0.619607843140000,0.733333333330000,0.843137254900000
62,765,874047,10280,2,10280_2_3,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Conifer,237,47,25,15,6,33,61,I-B,84,98,168,0.329411764710000,0.384313725490000,0.658823529410000
63,766,70540,10290,2,10290_2_3_4_5_6_7_12,Mediterranean California Mixed Oak Woodland,Hardwood,285,33,11,8,3,25,72,I-B,220,100,100,0.862745098040000,0.392156862750000,0.392156862750000
64,767,1114051,10300,2,10300_2_3_4_5_6_7,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,Conifer,176,38,15,10,6,27,67,I-B,180,80,145,0.705882352940000,0.313725490200000,0.568627450980000
65,768,95857,10310,2,10310_2_3_4_5_6_12,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Conifer,165,84,11,9,6,11,83,I-B,167,70,0,0.654901960780000,0.274509803920000,0.000000000000000
66,769,141337,10320,2,10320_2_3_7,Mediterranean California Red Fir Forest,Conifer,189,58,58,25,14,43,43,I-C,255,59,127,1.000000000000000,0.231372549020000,0.498039215690000
67,770,2329128,10350,2,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Conifer,367,70,90,35,10,50,40,I-C,137,68,68,0.537254901960000,0.266666666670000,0.266666666670000
68,771,4040772,10360,2,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,Conifer,657,NA,NA,657,100,NA,NA,V-B,213,127,227,0.835294117650000,0.498039215690000,0.890196078430000
69,772,7963128,10370,2,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,336,105,NA,80,24,76,NA,III-A,222,252,222,0.870588235290000,0.988235294120000,0.870588235290000
70,773,10810174,10390,2,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404,NA,NA,404,100,NA,NA,V-A,170,227,170,0.666666666670000,0.890196078430000,0.666666666670000
71,775,1180331,10600,2,10600_1_2_7,East Cascades Oak-Ponderosa Pine Forest and Woodland,Conifer,383,644,31,28,7,4,89,I-C,205,102,102,0.803921568630000,0.400000000000000,0.400000000000000
72,776,30283,10630,2,10630_2_7,North Pacific Broadleaf Landslide Forest and Shrubland,Hardwood,100,498,NA,83,83,17,NA,IV-A,255,247,163,1.000000000000000,0.968627450980000,0.639215686280000
73,777,4028177,11200,2,11200_1_2_7,Willamette Valley Upland Prairie and Savanna,Hardwood,288,50,13,10,4,19,77,I-B,215,215,158,0.843137254900000,0.843137254900000,0.619607843140000
74,778,4295,11280,2,11280_2_3_4,Northern California Coastal Scrub,Shrubland,110,NA,NA,110,100,NA,NA,IV-B,148,194,168,0.580392156860000,0.760784313720000,0.658823529410000
75,779,118229,11310,2,11310_2_3_4,California Northern Coastal Grassland,Grassland,2,NA,NA,2,100,NA,NA,II-A,237,240,216,0.929411764710000,0.941176470590000,0.847058823530000
76,780,172681,11520,2,11520_2_3_7,California Montane Riparian Systems,Riparian,64,79,NA,35,55,45,NA,I-C,65,150,167,0.254901960780000,0.588235294120000,0.654901960780000
77,781,2740997,11560,2,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749,NA,NA,749,100,NA,NA,V-B,177,179,125,0.694117647060000,0.701960784310000,0.490196078430000
78,782,270386,11570,2,11570_1_2,North Pacific Swamp Systems,Riparian,NA,NA,NA,NA,NA,NA,NA,NA,70,85,137,0.274509803920000,0.333333333330000,0.537254901960000
79,783,156274,11581,2,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,Riparian,1888,1598,NA,865,46,54,NA,V-B,188,207,212,0.737254901960000,0.811764705880000,0.831372549020000
80,784,43907,11582,2,11582_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Dry,Riparian,465,233,NA,155,33,67,NA,III-B,172,194,193,0.674509803920000,0.760784313720000,0.756862745100000
81,785,78157,11700,2,11700_2_3_7,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Conifer,201,NA,14,13,7,NA,93,I-B,210,235,0,0.823529411770000,0.921568627450000,0.000000000000000
82,786,156609,11780,2,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,NA,NA,NA,NA,NA,NA,NA,NA,215,176,158,0.843137254900000,0.690196078430000,0.619607843140000
141,2719,2087249,10432,2,10432_2_3,Mediterranean California Mixed Evergreen Forest-Coastal,Conifer,221,60,252,40,18,66,16,III-A,164,196,143,0.643137254900000,0.768627450980000,0.560784313730000
142,2720,4292487,10431,2,10431_2_3_6_7,Mediterranean California Mixed Evergreen Forest-Interior,Conifer,165,46,23,14,9,30,61,I-B,164,196,143,0.643137254900000,0.768627450980000,0.560784313730000
