OID_,Value,Count,Clip_OutRaster_LC20_SCla_220,Clip_OutRaster_LC16_BPS_200,LABEL,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_ALLFIR
1,1,4635264.000000000000000,111,11,Water,NA,Open Water,Open Water,NA
2,2,181603.000000000000000,132,31,Barren or Sparse,NA,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,NA
3,3,483.000000000000000,132,779,Barren or Sparse,11310_2_3_4,California Northern Coastal Grassland,Grassland,2
4,4,3161.000000000000000,7,779,UE,11310_2_3_4,California Northern Coastal Grassland,Grassland,2
5,5,28576.000000000000000,120,779,Developed,11310_2_3_4,California Northern Coastal Grassland,Grassland,2
6,6,570501.000000000000000,120,771,Developed,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,Conifer,657
7,7,2322.000000000000000,120,778,Developed,11280_2_3_4,Northern California Coastal Scrub,Shrubland,110
8,8,9555.000000000000000,132,771,Barren or Sparse,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,Conifer,657
9,9,97416.000000000000000,4,771,D,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,Conifer,657
10,10,476736.000000000000000,3,771,C,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,Conifer,657
11,11,214170.000000000000000,7,771,UE,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,Conifer,657
12,12,28115.000000000000000,3,779,C,11310_2_3_4,California Northern Coastal Grassland,Grassland,2
13,13,24576.000000000000000,6,779,UN,11310_2_3_4,California Northern Coastal Grassland,Grassland,2
14,14,475487.000000000000000,5,771,E,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,Conifer,657
15,15,1813976.000000000000000,2,771,B,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,Conifer,657
16,16,303364.000000000000000,1,771,A,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,Conifer,657
17,17,309427.000000000000000,120,781,Developed,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749
18,18,18426.000000000000000,2,779,B,11310_2_3_4,California Northern Coastal Grassland,Grassland,2
19,19,254821.000000000000000,1,781,A,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749
20,20,79567.000000000000000,180,771,Agriculture,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,Conifer,657
21,21,93.000000000000000,180,778,Agriculture,11280_2_3_4,Northern California Coastal Scrub,Shrubland,110
22,22,882653.000000000000000,180,781,Agriculture,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749
23,23,1258875.000000000000000,3,781,C,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749
24,24,2318.000000000000000,180,779,Agriculture,11310_2_3_4,California Northern Coastal Grassland,Grassland,2
25,25,33794.000000000000000,120,782,Developed,11570_1_2,North Pacific Swamp Systems,Riparian,NA
26,26,77682.000000000000000,2,782,B,11570_1_2,North Pacific Swamp Systems,Riparian,NA
