"join_field","model_code","ref_label","ref_percent","bps_name","state_class_id","age_category","canopy_category","value","cur_scls_count","groupveg","fri_allfir","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"10080_1_2_3_7_A","10080_1_2_3_7","A",9,"North Pacific Oak Woodland","Early1:ALL","Early1","ALL",105,67799,"Hardwood",10,3444613,766063,68946,15078.1247055,1.96826174667517
"10080_1_2_3_7_B","10080_1_2_3_7","B",5,"North Pacific Oak Woodland","Mid1:CLS","Mid1","CLS",93,943926,"Hardwood",10,3444613,766063,38303,209923.950807,27.4029622485893
"10080_1_2_3_7_C","10080_1_2_3_7","C",86,"North Pacific Oak Woodland","Mid1:OPN","Mid1","OPN",107,83839,"Hardwood",10,3444613,766063,658814,18645.3324855,2.43391637899526
"10080_1_2_3_7_D","10080_1_2_3_7","D",NA,"North Pacific Oak Woodland",NA,NA,NA,NA,NA,NA,NA,3444613,766063,NA,NA,NA
"10080_1_2_3_7_E","10080_1_2_3_7","E",NA,"North Pacific Oak Woodland",NA,NA,NA,NA,NA,NA,NA,3444613,766063,NA,NA,NA
"10080_1_2_3_7_Agriculture","10080_1_2_3_7","Agriculture",0,"North Pacific Oak Woodland",NA,NA,NA,113,1534438,"Hardwood",10,3444613,766063,0,341250.571791,44.5460201189509
"10080_1_2_3_7_Urban","10080_1_2_3_7","Urban",0,"North Pacific Oak Woodland",NA,NA,NA,NA,NA,NA,NA,3444613,766063,0,NA,NA
"10080_1_2_3_7_Water","10080_1_2_3_7","Water",0,"North Pacific Oak Woodland",NA,NA,NA,NA,NA,NA,NA,3444613,766063,0,NA,NA
"10080_1_2_3_7_UN","10080_1_2_3_7","UN",0,"North Pacific Oak Woodland",NA,NA,NA,NA,NA,NA,NA,3444613,766063,0,NA,NA
"10080_1_2_3_7_UE","10080_1_2_3_7","UE",0,"North Pacific Oak Woodland",NA,NA,NA,100,89627,"Hardwood",10,3444613,766063,0,19932.5518515,2.60194686601949
"10150_2_3_4_A","10150_2_3_4","A",1,"California Coastal Redwood Forest","Early1:ALL","Early1","ALL",227,3620,"Conifer",30,42789,9516,95,805.06809,8.46011825469163
"10150_2_3_4_B","10150_2_3_4","B",7,"California Coastal Redwood Forest","Mid1:CLS","Mid1","CLS",224,20941,"Conifer",30,42789,9516,666,4657.1632245,48.9401481689219
"10150_2_3_4_C","10150_2_3_4","C",92,"California Coastal Redwood Forest","Late1:CLS","Late1","CLS",202,7589,"Conifer",30,42789,9516,8755,1687.7518605,17.7358666947113
"10150_2_3_4_D","10150_2_3_4","D",NA,"California Coastal Redwood Forest",NA,NA,NA,NA,NA,NA,NA,42789,9516,NA,NA,NA
"10150_2_3_4_E","10150_2_3_4","E",NA,"California Coastal Redwood Forest",NA,NA,NA,NA,NA,NA,NA,42789,9516,NA,NA,NA
"10150_2_3_4_Agriculture","10150_2_3_4","Agriculture",0,"California Coastal Redwood Forest",NA,NA,NA,229,1179,"Conifer",30,42789,9516,0,262.2031155,2.75538105587885
"10150_2_3_4_Urban","10150_2_3_4","Urban",0,"California Coastal Redwood Forest",NA,NA,NA,NA,NA,NA,NA,42789,9516,0,NA,NA
"10150_2_3_4_Water","10150_2_3_4","Water",0,"California Coastal Redwood Forest",NA,NA,NA,NA,NA,NA,NA,42789,9516,0,NA,NA
"10150_2_3_4_UN","10150_2_3_4","UN",0,"California Coastal Redwood Forest",NA,NA,NA,228,758,"Conifer",30,42789,9516,0,168.575031,1.77148332515366
"10150_2_3_4_UE","10150_2_3_4","UE",0,"California Coastal Redwood Forest",NA,NA,NA,226,1067,"Conifer",30,42789,9516,0,237.2949315,2.49363154081657
"10210_2_3_6_7_A","10210_2_3_6_7","A",19,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland","Early1:ALL","Early1","ALL",163,310337,"Conifer",9,951332,211571,40198,69017.2419465,32.6213141153667
"10210_2_3_6_7_B","10210_2_3_6_7","B",1,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland","Mid1:CLS","Mid1","CLS",115,169414,"Conifer",9,951332,211571,2116,37676.741823,17.8080838235232
"10210_2_3_6_7_C","10210_2_3_6_7","C",24,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland","Mid1:OPN","Mid1","OPN",141,239992,"Conifer",9,951332,211571,50777,53372.900844,25.2269449571758
"10210_2_3_6_7_D","10210_2_3_6_7","D",53,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland","Late1:OPN","Late1","OPN",190,24294,"Conifer",9,951332,211571,112133,5402.851983,2.55368262604433
"10210_2_3_6_7_E","10210_2_3_6_7","E",3,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland","Late1:CLS","Late1","CLS",193,143798,"Conifer",9,951332,211571,6347,31979.884311,15.1154381435713
"10210_2_3_6_7_Agriculture","10210_2_3_6_7","Agriculture",0,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,192,2508,"Conifer",9,951332,211571,0,557.765406,0.263630362481237
"10210_2_3_6_7_Urban","10210_2_3_6_7","Urban",0,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,NA,NA,NA,NA,951332,211571,0,NA,NA
"10210_2_3_6_7_Water","10210_2_3_6_7","Water",0,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,NA,NA,NA,NA,951332,211571,0,NA,NA
"10210_2_3_6_7_UN","10210_2_3_6_7","UN",0,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,NA,NA,NA,NA,951332,211571,0,NA,NA
"10210_2_3_6_7_UE","10210_2_3_6_7","UE",0,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,191,15542,"Conifer",9,951332,211571,0,3456.455319,1.63370936749736
"10220_2_3_6_7_A","10220_2_3_6_7","A",18,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland","Early1:ALL","Early1","ALL",96,155816,"Conifer",9,295225,65656,11818,34652.621412,52.7787280887459
"10220_2_3_6_7_B","10220_2_3_6_7","B",2,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland","Mid1:CLS","Mid1","CLS",90,26135,"Conifer",9,295225,65656,1313,5812.2802575,8.85257007367262
"10220_2_3_6_7_C","10220_2_3_6_7","C",23,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland","Mid1:OPN","Mid1","OPN",95,67075,"Conifer",9,295225,65656,15101,14917.1110875,22.7199593530358
"10220_2_3_6_7_D","10220_2_3_6_7","D",54,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland","Late1:OPN","Late1","OPN",188,4002,"Conifer",9,295225,65656,35454,890.022789,1.35557625539842
"10220_2_3_6_7_E","10220_2_3_6_7","E",3,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland","Late1:CLS","Late1","CLS",132,27016,"Conifer",9,295225,65656,1970,6008.209812,9.15098653569311
"10220_2_3_6_7_Agriculture","10220_2_3_6_7","Agriculture",0,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,140,78,"Conifer",9,295225,65656,0,17.346771,0.0264205267169108
"10220_2_3_6_7_Urban","10220_2_3_6_7","Urban",0,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,NA,NA,NA,NA,295225,65656,0,NA,NA
"10220_2_3_6_7_Water","10220_2_3_6_7","Water",0,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,NA,NA,NA,NA,295225,65656,0,NA,NA
"10220_2_3_6_7_UN","10220_2_3_6_7","UN",0,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,NA,NA,NA,NA,295225,65656,0,NA,NA
"10220_2_3_6_7_UE","10220_2_3_6_7","UE",0,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,97,1248,"Conifer",9,295225,65656,0,277.548336,0.422728427470573
"10270_2_3_7_A","10270_2_3_7","A",11,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Early1:ALL","Early1","ALL",177,193426,"Conifer",8,3105749,690701,75977,43016.878557,6.22799846349464
"10270_2_3_7_B","10270_2_3_7","B",4,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Mid1:CLS","Mid1","CLS",175,1200594,"Conifer",8,3105749,690701,27628,267005.502333,38.657148404459
"10270_2_3_7_C","10270_2_3_7","C",8,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Mid1:OPN","Mid1","OPN",176,115231,"Conifer",8,3105749,690701,55256,25626.7406295,3.71024831691164
"10270_2_3_7_D","10270_2_3_7","D",63,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Late1:OPN","Late1","OPN",179,6437,"Conifer",8,3105749,690701,435142,1431.5533965,0.207260792807146
"10270_2_3_7_E","10270_2_3_7","E",14,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Late1:CLS","Late1","CLS",172,1005084,"Conifer",8,3105749,690701,96698,223525.153638,32.362048575078
"10270_2_3_7_Agriculture","10270_2_3_7","Agriculture",0,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland",NA,NA,NA,170,134063,"Conifer",8,3105749,690701,0,29814.8738535,4.31660768465192
"10270_2_3_7_Urban","10270_2_3_7","Urban",0,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,3105749,690701,0,NA,NA
"10270_2_3_7_Water","10270_2_3_7","Water",0,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,3105749,690701,0,NA,NA
"10270_2_3_7_UN","10270_2_3_7","UN",0,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,3105749,690701,0,NA,NA
"10270_2_3_7_UE","10270_2_3_7","UE",0,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland",NA,NA,NA,178,117523,"Conifer",8,3105749,690701,0,26136.4688235,3.7840469400457
"10280_2_3_A","10280_2_3","A",16,"Mediterranean California Mesic Mixed Conifer Forest and Woodland","Early1:ALL","Early1","ALL",103,113767,"Conifer",15,874048,194383,31101,25301.1550815,13.0161043787069
"10280_2_3_B","10280_2_3","B",14,"Mediterranean California Mesic Mixed Conifer Forest and Woodland","Mid1:CLS","Mid1","CLS",102,276450,"Conifer",15,874048,194383,27214,61480.959525,31.628697737424
"10280_2_3_C","10280_2_3","C",18,"Mediterranean California Mesic Mixed Conifer Forest and Woodland","Mid1:OPN","Mid1","OPN",101,47712,"Conifer",15,874048,194383,34989,10610.886384,5.45873910814967
"10280_2_3_D","10280_2_3","D",35,"Mediterranean California Mesic Mixed Conifer Forest and Woodland","Late1:OPN","Late1","OPN",162,1563,"Conifer",15,874048,194383,68034,347.6026035,0.178823130995094
"10280_2_3_E","10280_2_3","E",17,"Mediterranean California Mesic Mixed Conifer Forest and Woodland","Late1:CLS","Late1","CLS",109,354573,"Conifer",15,874048,194383,33045,78855.0850485,40.5667652119792
"10280_2_3_Agriculture","10280_2_3","Agriculture",0,"Mediterranean California Mesic Mixed Conifer Forest and Woodland",NA,NA,NA,138,2217,"Conifer",15,874048,194383,0,493.0486065,0.253647396939298
"10280_2_3_Urban","10280_2_3","Urban",0,"Mediterranean California Mesic Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,874048,194383,0,NA,NA
"10280_2_3_Water","10280_2_3","Water",0,"Mediterranean California Mesic Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,874048,194383,0,NA,NA
"10280_2_3_UN","10280_2_3","UN",0,"Mediterranean California Mesic Mixed Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,874048,194383,0,NA,NA
"10280_2_3_UE","10280_2_3","UE",0,"Mediterranean California Mesic Mixed Conifer Forest and Woodland",NA,NA,NA,137,14525,"Conifer",15,874048,194383,0,3230.2801125,1.6618080471553
"10290_2_3_4_5_6_7_12_A","10290_2_3_4_5_6_7_12","A",11,"Mediterranean California Mixed Oak Woodland","Early1:ALL","Early1","ALL",187,8136,"Hardwood",8,70540,15688,1726,1809.401652,11.5338814856819
"10290_2_3_4_5_6_7_12_B","10290_2_3_4_5_6_7_12","B",4,"Mediterranean California Mixed Oak Woodland","Mid1:CLS","Mid1","CLS",214,97,"Hardwood",8,70540,15688,628,21.5722665,0.137510632265381
"10290_2_3_4_5_6_7_12_C","10290_2_3_4_5_6_7_12","C",21,"Mediterranean California Mixed Oak Woodland","Mid1:OPN","Mid1","OPN",206,267,"Hardwood",8,70540,15688,3294,59.3793315,0.378508647575843
"10290_2_3_4_5_6_7_12_D","10290_2_3_4_5_6_7_12","D",54,"Mediterranean California Mixed Oak Woodland","Late1:OPN","Late1","OPN",186,2917,"Hardwood",8,70540,15688,8471,648.7247565,4.13524241565069
"10290_2_3_4_5_6_7_12_E","10290_2_3_4_5_6_7_12","E",10,"Mediterranean California Mixed Oak Woodland","Late1:CLS","Late1","CLS",185,5838,"Hardwood",8,70540,15688,1569,1298.339091,8.27615537283811
"10290_2_3_4_5_6_7_12_Agriculture","10290_2_3_4_5_6_7_12","Agriculture",0,"Mediterranean California Mixed Oak Woodland",NA,NA,NA,183,19218,"Hardwood",8,70540,15688,0,4273.977501,27.2441168131557
"10290_2_3_4_5_6_7_12_Urban","10290_2_3_4_5_6_7_12","Urban",0,"Mediterranean California Mixed Oak Woodland",NA,NA,NA,NA,NA,NA,NA,70540,15688,0,NA,NA
"10290_2_3_4_5_6_7_12_Water","10290_2_3_4_5_6_7_12","Water",0,"Mediterranean California Mixed Oak Woodland",NA,NA,NA,NA,NA,NA,NA,70540,15688,0,NA,NA
"10290_2_3_4_5_6_7_12_UN","10290_2_3_4_5_6_7_12","UN",0,"Mediterranean California Mixed Oak Woodland",NA,NA,NA,174,7916,"Hardwood",8,70540,15688,0,1760.474862,11.2220017011625
"10290_2_3_4_5_6_7_12_UE","10290_2_3_4_5_6_7_12","UE",0,"Mediterranean California Mixed Oak Woodland",NA,NA,NA,204,3292,"Hardwood",8,70540,15688,0,732.122694,4.66685568471789
"10300_2_3_4_5_6_7_A","10300_2_3_4_5_6_7","A",12,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland","Early1:ALL","Early1","ALL",182,68040,"Conifer",10,1114051,247759,29731,15131.72178,6.10744032364766
"10300_2_3_4_5_6_7_B","10300_2_3_4_5_6_7","B",30,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland","Mid1:CLS","Mid1","CLS",167,580350,"Conifer",10,1114051,247759,74328,129066.648075,52.0936653707954
"10300_2_3_4_5_6_7_C","10300_2_3_4_5_6_7","C",58,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland","Mid1:OPN","Mid1","OPN",171,183678,"Conifer",10,1114051,247759,143700,40848.976971,16.4873959989264
"10300_2_3_4_5_6_7_D","10300_2_3_4_5_6_7","D",NA,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,1114051,247759,NA,NA,NA
"10300_2_3_4_5_6_7_E","10300_2_3_4_5_6_7","E",NA,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,1114051,247759,NA,NA,NA
